question,topic,crop,agro_zone,document_id,reference_answer,QuestionId
Symptoms of Newcastle disease in chickens?,livestock,livestock,sub_humid,doc_liv_001,"Respiratory distress, greenish diarrhoea, and sudden mortality.",35
How do I reduce heat stress in dairy cows?,climate_adaptation,livestock,semi_arid,doc_cli_002,"Provide shade, night grazing, and clean water; avoid afternoon work.",36
When should I treat fall armyworm?,pests,maize,semi_arid,doc_pes_001,When more than ten percent of plants are infested at early vegetative stage.,37
Why mulch with drip irrigation?,water_management,general,sub_humid,doc_wat_002,Mulch keeps soil moisture stable and cuts evaporation between cycles.,38
Beans have hollow stems — nutrient issue?,fertiliser,beans,highland,doc_fer_003,Possible boron deficiency on sandy acidic soils; use foliar boron at safe rates.,39
Sticky soot on seedlings in the nursery.,pests,general,highland,doc_pes_003,Aphid honeydew leading to sooty mould; wash aphids and protect natural enemies.,40
Cows panting in afternoon sun — management?,climate_adaptation,livestock,semi_arid,doc_cli_002,"Shade, water ad libitum, and avoid working animals in peak heat.",41
How do I make hay for the dry season?,livestock,livestock,semi_arid,doc_liv_002,"Harvest forage at boot stage, sun-dry on racks, and store under cover.",42
Weeds between seasons — cover crop option?,soil_health,general,sub_humid,doc_soi_002,Mucuna or lablab as cover crops terminated before hard seed.,43
How do I reduce bean rust spread?,crop_diseases,beans,highland,doc_dis_002,"Use clean seed, avoid dusk overhead irrigation, and remove infected debris.",44
Sudden chicken deaths with green droppings.,livestock,livestock,sub_humid,doc_liv_001,Suspect Newcastle disease; vaccinate on schedule and isolate sick birds.,45
What disease does Xanthomonas vasicola pv. musacearum cause on banana?,crop_diseases,general,sub_humid,doc_dis_007,It causes bacterial wilt on banana.,46
How can we handle disputes with neighbors without going to village authorities?,general,general,semi_arid,doc_gen_016,"You can manage disagreements informally, using local social norms and relationships",47
"If I replace half of the fodder I collect with grass-legume mixtures, will it improve the feed quality for my livestock?",climate_adaptation,livestock,highland,doc_cli_016,"Yes, replacing 50 % of collected fodder",48
How can the Viazi Soko digital platform help my potato farm?,general,general,highland,doc_gen_022,Viazi Soko offers e-ad,49
Which vegetables are mentioned as being grown in sack gardens in Kibera?,general,general,semi_arid,doc_gen_026,Kale and Swiss,50
Why do women farmers have more difficulty accessing climate services?,climate_adaptation,general,semi_arid,doc_cli_027,Because women's needs and priorities often differ from men's and they face greater constraints,51
What kind of support services should I look for to help me innovate on my farm?,general,general,highland,doc_gen_052,"Look for diversified,",52
Which pepper variety do most smallholder farmers grow for market sales in Southwest Nigeria?,general,general,sub_humid,doc_gen_057,"Bell pepper, with about 81.9% of respondents cultivating it for market purposes, more",53
Is the cost of producing a liter of milk higher for pure Ethiopian Boran cows than for Boran-Holstein crossbreeds?,livestock,livestock,highland,doc_liv_039,Yes; the study found,54
Will I get more rain overall even though there are fewer rainy days?,climate_adaptation,general,semi_arid,doc_cli_050,"Yes, the",55
Can planting legumes under my coffee trees give me more forage and improve coffee yields?,livestock,livestock,highland,doc_liv_045,Yes; ILCA trials in Ethiopia showed that legumes grown under coffee trees provide substantial,56
"When does the rainy season occur, so I can plan my planting schedule?",climate_adaptation,general,sub_humid,doc_cli_052,The rainy season in Mozambique runs from,57
How much does urea fertilizer cost per kilogram in Ghana?,fertiliser,general,sub_humid,doc_fer_031,The average national price of urea fertilizer in Ghana is about 0.,58
How can I receive climate information to help plan my farming activities?,climate_adaptation,general,semi_arid,doc_cli_004,"You can access climate information through the network of community rural radio stations (URAC), which the project uses to reach farmers.",59
How can I get better access to breeding services and markets for my sheep and goats?,livestock,general,sub_humid,doc_liv_004,"The program plans to involve the private sector to provide inputs and services, offer technical support for community-based breeding, and facilitate market linkages for breeding, meat, and products.",60
Why should I talk with extensionists and soil scientists about my soil fertility?,soil_health,general,semi_arid,doc_soi_004,Effective knowledge exchange with extensionists and soil scientists is essential to increase opportunities for sustainable soil fertility management.,61
Which virus is most commonly found infecting garlic in Ethiopia?,crop_diseases,general,highland,doc_dis_005,Onion yellow dwarf virus (OYDV) is the most common virus detected in garlic samples.,62
Will joining the Sustainable Land Management Program increase the value of my farm's production?,water_management,general,highland,doc_wat_004,"According to the study, the SLMP has not been linked to significant increases in household-level agricultural production value.",63
How can I protect my groundnut crop from Early Leaf Spot disease?,crop_diseases,groundnuts,sub_humid,doc_dis_006,"Use groundnut varieties that are bred for resistance to Early Leaf Spot, as developing resistant varieties is the most viable management strategy.",64
Which wild edible plant was noted as the most significant contributor to women's diets in the study?,general,general,sub_humid,doc_gen_002,The semi-wild safou fruit (Dacryodes edulis) was the most noteworthy contributor.,65
Are whiteflies a problem for my tomato plants?,general,general,sub_humid,doc_gen_003,"Yes, whiteflies are sap-sucking insects that act as the main vector of many tomato viruses in Côte d'Ivoire.",66
Why might a new crop variety that matches my preferences still not be adopted on my farm?,general,general,sub_humid,doc_gen_004,Because other factors beyond preferences and needs can affect adoption of varieties.,67
How can neglected and underutilized species help my farm's productivity and resilience?,soil_health,general,sub_humid,doc_soi_005,"They can reduce poverty, improve nutrition, and combat climate change, offering new growth opportunities for your farm.",68
What causes cassava bacterial blight (CBB) in my fields?,crop_diseases,cassava,sub_humid,doc_dis_008,CBB is caused by the bacterium *Xanthomonas axonopodis* pv. *manihotis* (Xam).,69
Do I need official permission before I can grow genetically modified seeds on my farm?,general,general,sub_humid,doc_gen_005,"Yes, the Biosafety Act requires you to obtain approval from the Competent Authority for any confined field trials or commercial release of living modified organisms, including GM seeds.",70
How many sweetpotato genotypes were included in the spectroscopic analysis?,general,general,sub_humid,doc_gen_007,The analysis covered 60 sweetpotato genotypes harvested in Uganda.,71
How can I tell if a cowpea variety is drought-tolerant without waiting for a drought season?,climate_adaptation,general,semi_arid,doc_cli_006,"By measuring canopy temperature and calculating the index of canopy conductance, you can indirectly assess transpiration rate; lower canopy temperature and higher conductance indicate better control of leaf water loss and drought tolerance.",72
How many households have accessed the nutritious sweetpotato varieties through this project?,crop_diseases,general,sub_humid,doc_dis_009,More than two million households.,73
How can I afford an off-grid solar pump for irrigation?,climate_adaptation,livestock,semi_arid,doc_cli_009,"You can access inclusive, sustainable end-user finance mechanisms that provide low-income farmers with financing to purchase solar pumps.",74
Can growing chili peppers give me extra income?,climate_adaptation,general,semi_arid,doc_cli_010,"Yes, the report notes that a woman's farming group growing chili peppers provides additional income.",75
What does the CGIAR Research Program on Livestock aim to achieve for smallholder farmers?,livestock,livestock,highland,doc_liv_008,"It aims to increase livestock productivity sustainably, making meat, milk, and eggs more available and affordable, and to help farmers transition to resilient, productive livelihoods.",76
Why is agricultural biodiversity important for poor households in dryland areas?,livestock,general,sub_humid,doc_liv_009,"It is one of the most important assets for rural households, especially the poor living in marginal dryland regions.",77
How can alternative payment systems help livestock farmers cooperate on sharing water infrastructure?,water_management,livestock,semi_arid,doc_wat_006,"The study finds that payment systems that better match water provision with usage can encourage cooperation among farmers, even when livestock numbers and water needs constantly change.",78
Is there a severe drought affecting water availability for farming in eastern Australia right now?,climate_adaptation,general,semi_arid,doc_cli_013,"Yes, eastern Australia is experiencing its worst drought in 100 years, leading to critical water shortages for agricultural systems.",79
How can a women's self-help group help me get improved sorghum varieties?,general,sorghum,semi_arid,doc_gen_012,"By forming a group that works as a pilot project, you can promote improved sorghum strains with support from agricultural agencies.",80
How reliable is the rainfall data from the system for planning my farm's irrigation?,general,general,semi_arid,doc_gen_013,"The rainfall data is raw and has not undergone quality assurance, so its reliability may be limited.",81
Is Kenya's agricultural policy environment historically supportive of poor farmers?,general,general,semi_arid,doc_gen_014,"No, historically the policy-shaping environment in the agricultural sector has not been pro-poor and few incentives have existed for farmers.",82
Are there many drought-tolerant chickpea varieties I can plant now?,climate_adaptation,general,semi_arid,doc_cli_014,Currently only a few drought-tolerant chickpea genotypes are available; more diverse tolerant varieties are still needed for breeding.,83
What is the prevalence of Schistosoma mansoni infection in the freshwater snails that might be in my fields?,livestock,livestock,semi_arid,doc_liv_012,"In Biomphalaria pfeifferi snails, infection rates ranged from about 1.8% to 7.1% in the studied areas.",84
How does targeting climate-smart agricultural technologies to the right locations help me as a farmer?,climate_adaptation,general,sub_humid,doc_cli_018,"Spatial targeting matches technologies to suitable local conditions, lowering the risk of failure and improving adoption and efficient use of limited resources.",85
Why are small reservoirs important for us in the Limpopo basin?,post_harvest,general,semi_arid,doc_pos_005,Small reservoirs are critical for storing water and sustaining rural livelihoods in semi-arid areas like the Limpopo basin.,86
What factors does the targetCSA decision-support tool use to choose climate-smart practices for my area?,climate_adaptation,livestock,semi_arid,doc_cli_019,"It combines quantitative, spatial data on vulnerability (like soil organic matter, literacy rate, market access) with proxies for CSA practices such as soil fertility improvement, water harvesting, and agroforestry, plus qualitative stakeholder opinions.",87
How does using warrantage help me get better prices for my sorghum or maize?,livestock,general,sub_humid,doc_liv_013,"It lets you store your sorghum or maize and sell it later, so you can take advantage of higher average market prices.",88
Why do I need weather stations located in cropland to estimate my crop's water needs?,water_management,general,semi_arid,doc_wat_007,"Because without stations that represent cropland conditions, especially in drylands, the reference evapotranspiration (ETo) estimates can be inaccurate. Using nearby cropland stations provides weather data that better reflect the actual conditions affecting your crops.",89
Has COVID-19 changed the demand for milk from farmers in Addis Ababa?,crop_diseases,livestock,highland,doc_dis_011,"Yes, the pandemic has altered food availability and consumer preferences, leading to disruptions and changes in demand for dairy products in the Addis Ababa market.",90
How did the COVID-19 lockdown affect women's access to agricultural extension services?,crop_diseases,general,sub_humid,doc_dis_013,The lockdown further reduced the already limited access women had to formal extension services.,91
How much yield loss can Cassava brown streak disease cause?,crop_diseases,cassava,highland,doc_dis_014,It can cause up to 100% yield loss.,92
How can I get support services for my pigs from women or youth-led businesses?,livestock,livestock,highland,doc_liv_017,The initiative is strengthening women's and youth-led enterprises so they can provide quality services and create linkages specifically for pig farmers like you.,93
Can aphids spread groundnut rosette disease even when the plants look healthy?,crop_diseases,groundnuts,highland,doc_dis_015,Yes; the study found GRAV present in symptomless plants and that viruliferous Aphis craccivora can transmit the virus to healthy crops.,94
Will commercialisation help me use more fertilizer on my farm?,fertiliser,general,sub_humid,doc_fer_006,The excerpt finds no strong evidence that commercialisation increases fertilizer use among the surveyed smallholder households.,95
How much does supplemental irrigation from a small basin increase my maize yield?,water_management,maize,semi_arid,doc_wat_008,It raised yields by about 0.8 t/ha in 2012-2013 and 2.4 t/ha in 2013-2014 compared to fields without the irrigation.,96
Will using insecticides help control fall armyworm on my maize?,pests,maize,sub_humid,doc_pes_004,"Yes, the excerpt states that insecticides are the most effective control measure for fall armyworm, though they can be expensive for resource-poor farmers.",97
How do grain legumes help improve my soil fertility?,soil_health,general,sub_humid,doc_soi_006,"Grain legumes increase biological nitrogen fixation, which adds nitrogen to the soil and enhances its fertility.",98
How can I make charcoal production more sustainable in Kitui County?,general,general,semi_arid,doc_gen_018,"Use sustainable harvesting by managing woodlands, encouraging natural regeneration and planting trees on degraded lands, and adopt more efficient processing and carbonization methods.",99
Which cassava varieties were evaluated for disease resistance in the 2016/2017 trial in Ibadan?,crop_diseases,cassava,sub_humid,doc_dis_018,"Eight cassava clones were assessed for disease resistance (along with poundability, high yield, and high dry matter) in the 2016/2017 Advance Yield Trial in Ibadan.",100
Which disease are the new bean landraces being bred to resist?,crop_diseases,general,sub_humid,doc_dis_019,The study focuses on breeding resistance to Angular Leaf Spot (ALS) in common beans.,101
How does climate-smart agriculture help balance higher yields with climate resilience and lower emissions?,water_management,general,"highland, semi_arid",doc_wat_009,"CSA seeks to increase productivity, improve adaptation to climate impacts, and reduce greenhouse-gas emissions, but it requires careful planning to manage the trade-offs and synergies among these three goals.",102
How can the CGIAR Research Program on Livestock help me improve my livestock productivity and profitability?,livestock,livestock,sub_humid,doc_liv_019,It offers research-based solutions that support smallholder farmers in increasing livestock productivity and profitability in sustainable ways.,103
How can lactic acid bacteria help reduce aflatoxin contamination in my crops?,crop_diseases,general,sub_humid,doc_dis_020,"Lactic acid bacteria can inhibit mold growth and bind aflatoxin, lowering its presence in food and feed.",104
Should I continue expanding my cocoa farm or focus on other crops like coffee or plantain?,general,general,sub_humid,doc_gen_020,"The excerpt shows cocoa production has stagnated, while coffee, plantain, and other food crops have increased, suggesting a shift to those crops may be more productive.",105
How does reducing food loss and waste help lower greenhouse gas emissions?,climate_adaptation,general,sub_humid,doc_cli_022,"Cutting food loss and waste can lower emissions by up to 6-10% of total anthropogenic GHGs, reducing the emission intensity of agriculture (fewer tons of GHG per ton of food consumed).",106
How can I find out if my maize seed is infected with pests or diseases?,crop_diseases,maize,sub_humid,doc_dis_021,"Attend the workshop, which will demonstrate laboratory methods for seed health testing and teach you how to detect seed-borne pathogens.",107
Can I use the manual seed-sower to plant my maize and beans?,general,general,sub_humid,doc_gen_021,"Yes, the manual seed-sower can be used to plant maize, beans, and soy.",108
What does the acronym IPMS stand for in the document?,livestock,general,highland,doc_liv_020,IPMS stands for the Improving Productivity and Market Success of Ethiopian Farmers Project.,109
How can the hotspot mapping tool help me negotiate access to water points for my livestock?,climate_adaptation,livestock,semi_arid,doc_cli_023,"The hotspot mapping identifies climate stressors, transhumance routes, and water points, showing conflict trigger areas, which you can use as evidence to negotiate and agree on water-point access and pastoral infrastructure use.",110
How can new seed varieties help increase my farm's grain yield?,crop_diseases,general,sub_humid,doc_dis_023,"New seed varieties are designed for small-scale farmers' constraints and can boost staple crop productivity, helping you produce more grain.",111
How is animal health monitored and assessed in Uganda according to the study?,crop_diseases,livestock,sub_humid,doc_dis_024,"The assessment uses questionnaires, reviews of animal disease data, the PPR Monitoring and Assessment Tool (PMAT), and the OIE Performance of Veterinary Services evaluations.",112
Is there a strong demand for soybeans for livestock feed in Ghana right now?,livestock,general,sub_humid,doc_liv_021,"Yes, domestic production isn't meeting demand, so imports of soybeans have grown significantly to supply the livestock and fish feed market.",113
How will I get help to use conservation agriculture on my farm?,climate_adaptation,maize,highland,doc_cli_024,"The Ministry of Agriculture will add conservation agriculture to its formal extension program and expand it in districts that already have some experience, so you can receive training through those local extension services.",114
How is the suitability for dry-season small-scale irrigation determined in the Upper East Region of Ghana?,water_management,general,semi_arid,doc_wat_011,"It is assessed using an ensemble of machine-learning models that consider biophysical factors (surface and groundwater, climate, topography, soil) and socio-economic factors (population, road and city access).",115
How does the CGIAR Research Program on Livestock help smallholder farmers like me?,livestock,general,sub_humid,doc_liv_023,"It provides research-based solutions aimed at increasing the productivity and profitability of livestock agri-food systems, making meat, milk, and eggs more available and affordable.",116
What new livestock feed crop is Africa RISING testing in the Ethiopian highlands?,livestock,general,highland,doc_liv_024,The project is researching fodder beet as a feed and forage option for livestock.,117
Where can I sell my livestock online in Namibia?,livestock,livestock,semi_arid,doc_liv_025,"You can sell livestock through AGRA, Namibia's only online agriculture trading facility.",118
How long should I let my field lie fallow to maintain good yields?,soil_health,general,sub_humid,doc_soi_007,"Historically, a 10-12-year secondary forest fallow was used, but it has now dropped to 3-5 years, which has reduced yields and increased pests and weeds.",119
Who is helping the Liberian Ministry of Public Works set up a system to monitor the socio-economic impacts of rural road improvements?,general,general,sub_humid,doc_gen_024,"The Ministry is working with ReCAP, using the Liberian Swedish Feeder Roads Project funded by the Swedish Government and a consultancy from the University of Birmingham.",120
How can I help women adopt climate-smart agriculture practices on my farm?,climate_adaptation,livestock,sub_humid,doc_cli_026,"Use a combined approach that offers both technical training and addresses social-cultural norms, as bundling technical and social interventions improves gender-equitable uptake of climate-smart practices.",121
What is the purpose of the visioning exercise in Work Package 1 of the Agroecology Initiative?,soil_health,general,semi_arid,doc_soi_008,It is used as a planning tool to guide collective action in the Agroecological Living Landscapes and help trigger agroecological transitions.,122
What is the Participatory Market Chain Approach (PMCA) and how does it involve farmers?,general,general,highland,doc_gen_025,"The PMCA is a flexible approach that brings together smallholder farmers, market agents, researchers, and service providers in a collective process to identify and exploit business opportunities.",123
How can I estimate the methane emissions from my pasture-based dairy cows?,fertiliser,livestock,sub_humid,doc_fer_009,"Monitor a representative animal from each herd, record its body weight and behavior on pasture for three consecutive days, and compare the results for dry and wet seasons.",124
How can I control invasive Australian acacias on my farm?,general,general,semi_arid,doc_gen_027,"Management approaches target each stage of the acacia life cycle, with specific control methods available for each stage.",125
Can smallholder farmers with about half a hectare use tractors or power tillers on their fields?,water_management,general,sub_humid,doc_wat_012,"Yes, in Bangladesh even farms averaging 0.5 ha have adopted tractors and power tillers for cultivation.",126
How does the 1998 Ghana Demographic and Health Survey help improve health services for our families?,general,general,sub_humid,doc_gen_006,"It provides reliable data on fertility, family planning, child mortality, nutrition, and maternal-child health, which guide policy, planning, and program evaluation at national and local levels.",127
What alternative export crops can I consider that are more resilient to the increasing intensity of cyclones?,climate_adaptation,general,highland,doc_cli_007,"Farmers are seeking other export crops that are considered more resilient to stronger cyclones, though the excerpt does not specify which crops.",128
How can the Rice GAPfinder tool help me check if my rice farming practices are sustainable?,general,general,semi_arid,doc_gen_010,"It lets you assess and monitor sustainable rice practices in your fields, providing benchmarks against the Sustainable Rice Platform standards.",129
What should we consider doing with our mobile pastoralism when a severe drought hits?,livestock,livestock,"highland, semi_arid",doc_liv_015,The excerpt suggests that droughts may require you to rethink or even abandon mobile pastoralism as a livelihood.,130
What traits were evaluated in the cassava variety assessment trial in Ibadan?,crop_diseases,cassava,sub_humid,doc_dis_026,"The trial evaluated cassava clones for high yield, disease resistance, and resistance to post-harvest physiological deterioration (PPD).",131
Will cows with more than 50% exotic breed give me more milk than cows with 50% or less exotic genetics?,livestock,livestock,"semi_arid, sub_humid",doc_liv_026,"Yes, the study found that cattle in the >50% exotic group (EC2) produced higher test-day milk yields than the ≤50% exotic group (EC1).",132
Where can I find the Investment Guide for Community-Based Seed Entrepreneurs in Millet Production?,crop_diseases,general,semi_arid,doc_dis_027,The guide was published by the International Institute of Tropical Agriculture (IITA) in October 2023 and is available through IITA (www.iita.org).,133
How can the genomic evaluation results help improve my dairy herd?,livestock,livestock,highland,doc_liv_027,"The results are used to strengthen dairy extension support, helping you select better genetics and improve herd productivity.",134
At what soil depths should I collect samples for analysis?,general,general,sub_humid,doc_gen_028,Collect samples from the 0-20 cm layer and the 20-50 cm layer.,135
How is the study planning to help improve the quality of fish seed for farmers like me?,general,general,sub_humid,doc_gen_029,"The study aims to identify opportunities and challenges for better seed quality, especially by focusing on genetically improved tilapia for Zambian farmers.",136
How much funding did Nigeria receive from the World Bank to help control H5N1 avian influenza?,crop_diseases,livestock,semi_arid,doc_dis_030,Nigeria received a US$ 50 million loan from the World Bank for H5N1 control and preparedness.,137
What happens to chickpea if the temperature goes above 35 °C?,climate_adaptation,general,semi_arid,doc_cli_030,Temperatures above 35 °C reduce chickpea fertility and impair seed development.,138
Will I receive fair payment if a foreign company wants to lease my land?,general,general,sub_humid,doc_gen_031,The excerpt notes that compensation offered to land owners in such deals is often relatively low.,139
How do arbuscular mycorrhizal fungi help my beans and maize when the soil is low in fertility and phosphorus?,fertiliser,general,highland,doc_fer_011,"The fungi form a natural partnership with roots, improving nutrient uptake-especially phosphorus-and can boost growth and yield of beans and maize in low-fertility soils.",140
How can I detect areas with soil salinity in my field?,general,general,semi_arid,doc_gen_032,By using remote sensing to calculate the Salinity Index 1 (SI1) and confirming it with soil samples taken at multiple points.,141
How will climate change affect hunger reduction efforts in the coming decades?,climate_adaptation,general,sub_humid,doc_cli_031,Climate change will continue to slow the projected reductions in hunger in the coming decades.,142
What is the purpose of the FASA project mentioned in the document?,climate_adaptation,general,sub_humid,doc_cli_032,The FASA project aims to develop and scale sustainable feeds for resilient aquatic food systems in Africa.,143
How does the EiA Initiative ensure women and youth are included in its agronomic work?,general,general,sub_humid,doc_gen_034,"It integrates women and youth into Use Cases so they equally participate in, benefit from, and help pilot agronomic solutions and social innovations that empower them.",144
What proportion of Central Africa's forests are designated as protected areas?,general,general,sub_humid,doc_gen_035,Between 10% and 15% of the forest surface area is occupied by protected areas.,145
What disease can cause complete loss of my cassava harvest?,crop_diseases,cassava,sub_humid,doc_dis_033,Cassava brown streak virus (CBSV) can cause up to 100% yield loss in severe infections.,146
What grain yield can I expect from the bio-fortified sorghum hybrids identified in the study?,climate_adaptation,sorghum,semi_arid,doc_cli_033,"The ten bio-fortified hybrids produced yields between 3,774 and 5,068 kg per hectare.",147
How is CIRAD planning to support tropical forest research and training for farmers?,general,general,sub_humid,doc_gen_036,"CIRAD commits to action-oriented forestry research through five main lines and six research areas, partnering on projects and training mechanisms to protect forest functions.",148
What level of temporary flooding should I avoid to protect my maize crop?,water_management,maize,semi_arid,doc_wat_014,"Flooding of 2-3 cm or more, especially for three to six days, can harm maize growth; keeping fields at 0 cm flooding is safest.",149
Will coating my maize seeds with imazapyr reduce witchweed and increase yield?,crop_diseases,maize,sub_humid,doc_dis_036,"Yes, field trials showed that maize hybrids coated with imazapyr and having imidazolinone-resistance and witchweed-tolerance genes yielded more and had fewer witchweed plants.",150
Why have maize prices dropped by about 25 % in March?,post_harvest,maize,sub_humid,doc_pos_006,"Prices fell because the new harvest reached the market and the Malawi kwacha's depreciation slowed, while imports from Tanzania, Mozambique and Zambia increased supply.",151
What is being done to protect the Mau Forest Complex from further degradation?,general,general,semi_arid,doc_gen_037,Kenya Forest Service is implementing measures to mitigate degradation and ensure the forest is securely and sustainably managed.,152
What is the goal of the BREEDCAFS project for coffee farmers in the highlands?,fertiliser,general,highland,doc_fer_013,"The BREEDCAFS project aims to revive the coffee sector by introducing new F1 hybrid coffee varieties that are well-suited to agroforestry systems, give high yields and produce high cup quality.",153
How can I estimate the root length density of my sorghum plants without disturbing the soil?,fertiliser,sorghum,semi_arid,doc_fer_014,"Use the root intersection density (RID) method by taking undisturbed 1 × 10−3 m3 soil cubes, count thick and fine root intersections on the cube sides, and convert those counts to RLD while accounting for root orientation.",154
How can my livestock help improve my crop yields?,fertiliser,livestock,sub_humid,doc_fer_015,"Their manure can be used as fertilizer, adding nutrients to the soil and supporting better crop production.",155
What nitrogen fertilizer rates were tested for maize in the study?,fertiliser,maize,sub_humid,doc_fer_017,The study tested nitrogen application rates of 50 kg N/ha and 100 kg N/ha.,156
How serious is foodborne disease compared to other health issues in Kenya?,post_harvest,general,sub_humid,doc_pos_007,It has a greater impact on public health in Africa than either tuberculosis or diabetes.,157
Will getting a cow and having community health workers visit my home increase my child's milk consumption?,livestock,livestock,sub_humid,doc_liv_031,"Yes, the study found that households receiving a cow and CHW‐led behavior change activities saw higher child milk consumption.",158
Why are maize prices higher in the southern part of the country compared to the north?,water_management,maize,sub_humid,doc_wat_017,The report says maize prices in the South were about MWK 40 per kilogram higher than in the North during October.,159
What were the main components of Integrated Water Resources Management introduced in Tanzania around 1990?,water_management,general,sub_humid,doc_wat_018,"They included cost-recovery of state water services, managing water according to river-basin boundaries, and using the existing colonial water-rights (permit) system.",160
Which countries commonly grow pearl millet?,general,general,semi_arid,doc_gen_039,"Pearl millet is mainly cultivated in many African countries-including Niger, Nigeria, Burkina Faso, Togo, Ghana, Mali, Senegal, Central African Republic, Cameroon, Sudan, Botswana, Namibia, Zambia, Zimbabwe, and South Africa-as well as in India, Pakistan, and Yemen in Asia.",161
Why do I see some parts of my maize field giving much lower yields than other parts even though they're in the same field?,general,maize,sub_humid,doc_gen_040,"Because yields are not uniform; the same area can contain both low- and high-yield sites, indicating the need for site-specific management.",162
